idxPermID,@type,tr-common:hasPermId,hasOrganizationPrimaryQuote,hasPrimaryInstrument,mdaas:HeadquartersAddress,mdaas:RegisteredAddress,hasActivityStatus,tr-org:hasHeadquartersPhoneNumber,hasHoldingClassification,hasIPODate,hasLatestOrganizationFoundedDate,hasPrimaryBusinessSector,hasPrimaryEconomicSector,hasPrimaryIndustryGroup,vcard:organization-name,tr-org:hasRegisteredFaxNumber,tr-org:hasRegisteredPhoneNumber,tr-common:hasName,hasAssetClass,hasInstrumentStatus,hasPrimaryQuote,isIssuedBy,tr-org:hasLEI,isIncorporatedIn,isDomiciledIn,hasURL,hasInactiveDate,tr-org:hasHeadquartersFaxNumber
https://permid.org/1-5068315017,tr-org:Organization,5068315017,https://permid.org/1-25727442568,https://permid.org/1-25727442569,"84 State Street


BOSTON
MASSACHUSETTS
02110-1727
","84 State Street


BOSTON
MASSACHUSETTS
02110-1727
",tr-org:statusActive,17029452700.0,tr-org:publiclyHeld,2016-11-14T05:00:00Z,2018-09-06T00:00:00Z,https://permid.org/1-4294952830,https://permid.org/1-4294952723,https://permid.org/1-4294952829,Gty Technology Holdings Inc,,,,,,,,,,,,,
https://permid.org/1-5076381223,tr-org:Organization,5076381223,https://permid.org/1-25727330997,https://permid.org/1-25727331000,"1980 Festival Plaza Drive Suite 300


LAS VEGAS
NEVADA
89135
","251 Little Falls Drive
New Castle County

WILMINGTON
DELAWARE
19808
",tr-org:statusActive,13109914982.0,,,2020-06-16T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Software Acquisition Group Inc II,13026365454.0,13026365400.0,,,,,,,,,,,
https://permid.org/1-5071160071,tr-org:Organization,5071160071,https://permid.org/1-25727361069,https://permid.org/1-25727361070,"100 Saint Paul St Ste 800


DENVER
COLORADO
80206-5144
","251 Little Falls Dr


WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,17202846400.0,tr-org:publiclyHeld,2019-09-13T04:00:00Z,2019-05-24T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Experience Investment Corp,13026365454.0,13026365400.0,,,,,,,,,,,
https://permid.org/1-5071497036,tr-org:Organization,5071497036,https://permid.org/1-25727356758,https://permid.org/1-25727356759,"9261 Warbler Way


LOS ANGELES
CALIFORNIA
90069
","251 Little Falls Dr


WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,13109914982.0,tr-org:publiclyHeld,2019-11-20T05:00:00Z,2019-05-09T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Software Acquisition Group Inc,13026365454.0,13026365400.0,,,,,,549300MSP5P41EYSIZ09,,,,,
https://permid.org/1-5037630430,tr-org:Organization,5037630430,https://permid.org/1-21514500380,https://permid.org/1-21486497214,"650 Sweet Bay Ave
PLANTATION
FLORIDA
33324-8276
","2215 Renaissance Dr Ste B
LAS VEGAS
NEVADA
89119-6727
",tr-org:statusActive,19544678170.0,,2012-11-19T05:00:00Z,2009-12-31T00:00:00Z,https://permid.org/1-4294952894,https://permid.org/1-4294952895,https://permid.org/1-4294952889,GSP-2 Inc,,,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5071525088,tr-org:Organization,5071525088,https://permid.org/1-25727356370,https://permid.org/1-25727356371,"25 Deforest Ave Ste 108


SUMMIT
NEW JERSEY
07901-2140
","Corporation Trust Center
1209 N Orange St
WILMINGTON
DELAWARE
19801-1120
",tr-org:statusActive,12125087090.0,tr-org:publiclyHeld,2019-11-22T05:00:00Z,2019-07-31T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,CHP Merger Corp,13026555049.0,13026587581.0,,,,,,,,,,,
https://permid.org/1-5052129731,tr-org:Organization,5052129731,https://permid.org/1-25727442568,https://permid.org/1-25727442569,"1180 N Town Center Dr Ste 100
LAS VEGAS
NEVADA
89144-6363
","Cayman Islands
",tr-org:statusActive,17029452700.0,,2016-11-14T05:00:00Z,2016-08-11T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,GTY Technology Holdings Inc,,,,,,,,,http://sws.geonames.org/3580718/,http://sws.geonames.org/6252001/,https://www.gtytechnology.com/,,
https://permid.org/1-5068933591,tr-org:Organization,5068933591,https://permid.org/1-25727367979,https://permid.org/1-25727367980,"1325 Avenue of the Americas Fl 25


NEW YORK
NEW YORK
10019-6026
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,12126163700.0,tr-org:publiclyHeld,2019-05-21T04:00:00Z,2018-08-24T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,GX Acquisition Corp,13026365454.0,13026365400.0,,,,,,,,,,,
https://permid.org/1-5056436950,tr-org:Organization,5056436950,https://permid.org/1-25727433535,https://permid.org/1-21617737729,"C/O Thomas H Lee Partners, L.P.
100 Federal Street, 35Th Floor
BOSTON
MASSACHUSETTS
02110
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,16172271050.0,,2017-07-19T04:00:00Z,2017-03-21T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Federal Street Acquisition Corp,13026365454.0,13026365400.0,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5071553026,tr-org:Organization,5071553026,https://permid.org/1-25727356192,https://permid.org/1-25727356194,"Torre Virreyes
Pedregal No. 24, Piso 6-601
Col. Molino del Rey
MEXICO, D.F.
MEXICO, D.F.
11040
Mexico
","Cayman Islands
",tr-org:statusActive,525511002470.0,tr-org:publiclyHeld,2019-12-11T05:00:00Z,2019-10-02T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,LIV Capital Acquisition Corp,,,,,,,,,http://sws.geonames.org/3580718/,http://sws.geonames.org/3996063/,,,
https://permid.org/1-5068658872,tr-org:Organization,5068658872,https://permid.org/1-25727368823,https://permid.org/1-25727368824,"2121 Avenue of the Stars Ste 2300
LOS ANGELES
CALIFORNIA
90067-5047
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusInActive,13102097280.0,,2019-05-10T04:00:00Z,2019-03-27T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Diamond Eagle Acquisition Corp,13026365454.0,13026365400.0,,,,,,,,,,2020-04-24T00:00:00Z,
https://permid.org/1-5057950853,tr-org:Organization,5057950853,https://permid.org/1-25727415076,https://permid.org/1-25727415077,"2645 N Federal Hwy Ste 230


DELRAY BEACH
FLORIDA
33483-6111
","Corporation Trust Center
1209 Orange Street
New Castle County
WILMINGTON
DELAWARE
19801
",tr-org:statusActive,13107342300.0,tr-org:publiclyHeld,2017-11-20T05:00:00Z,2017-09-18T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Big Rock Partners Acquisition Corp,13026555049.0,13026587581.0,,,,,,5493003FN4CLS0670T77,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5057934443,tr-org:Organization,5057934443,https://permid.org/1-25727415179,https://permid.org/1-21623608855,"1001 Pennsylvania Avenue NW
Suite 220 South
WASHINGTON
WASHINGTON DC
20004
","C/O Walkers Corporate Limited
27 Hospital Road
GEORGE TOWN
KY1-9008
Cayman Islands
",tr-org:statusActive,12027295626.0,tr-org:publiclyHeld,2017-12-01T05:00:00Z,2017-09-14T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Regalwood Global Energy Ltd,,,,,,,,549300AFETK85OIID953,http://sws.geonames.org/3580718/,http://sws.geonames.org/6252001/,https://www.carlyle.com/regalwood,,
https://permid.org/1-4296341106,tr-org:Organization,4296341106,,,"509 7Th Street, Nw
WASHINGTON
WASHINGTON DC
20004
","850 New Burton Rd Ste 201
DOVER
DELAWARE
19904-5451
",tr-org:statusActive,12026547060.0,,,2007-06-26T00:00:00Z,https://permid.org/1-4294952860,https://permid.org/1-4294952740,https://permid.org/1-4294952857,Capitol Acquisition Corp,18002535177.0,18004831140.0,,,,,,R4S05VGDNW71FTJG0Y69,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,http://www.capitolacquisition.com/,,
https://permid.org/1-5074626524,tr-org:Organization,5074626524,,,"Czechia
",,tr-org:statusActive,,,,,,,,Acquisition Capital Property sro,,,,,,,,315700IVUVTMJAB61L25,http://sws.geonames.org/3077311/,http://sws.geonames.org/3077311/,,,
https://permid.org/1-5044065398,tr-org:Organization,5044065398,https://permid.org/1-21551267047,https://permid.org/1-21551183355,"888 7th Ave Fl 17
NEW YORK
NEW YORK
10106-0001
","850 New Burton Rd Ste 201
DOVER
DELAWARE
19904-5451
",tr-org:statusActive,12129745710.0,,2015-02-06T05:00:00Z,2014-07-24T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Barington/Hilco Acquisition Corp,18002535177.0,18004831140.0,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5034762323,tr-org:Organization,5034762323,https://permid.org/1-21524129094,https://permid.org/1-21475882501,"Two Sound View Drive
GREENWICH
CONNECTICUT
06830
","FH Chambers
P.O. Box 4649, Road Town
TORTOLA
VG1110
British Virgin Islands
",tr-org:statusActive,12036224903.0,,,2011-03-11T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Blue Wolf Mongolia Holdings Corp,,,,,,,,,http://sws.geonames.org/3577718/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5074626042,tr-org:Organization,5074626042,,,"Czechia
",,tr-org:statusActive,,,,,,,,Acquisition Capital Invest sro,,,,,,,,315700GN43UAVPA2TL36,http://sws.geonames.org/3077311/,http://sws.geonames.org/3077311/,,,
https://permid.org/1-5058533604,tr-org:Organization,5058533604,https://permid.org/1-25727416035,https://permid.org/1-21625433316,"1308 Race St Ste 200


CINCINNATI
OHIO
45202
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,15136187161.0,tr-org:publiclyHeld,2017-11-17T05:00:00Z,2016-03-15T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Legacy Acquisition Corp,13026365454.0,13026365400.0,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,http://www.legacyacquisition.com/index.html,,
https://permid.org/1-4297756134,tr-org:Organization,4297756134,,,"9A
Canada
",,tr-org:statusActive,,,,,,,,Capital Acquisition Corp,,,,,,,,,http://sws.geonames.org/6251999/,http://sws.geonames.org/6251999/,,,
https://permid.org/1-4298052948,tr-org:Organization,4298052948,https://permid.org/1-55845586042,https://permid.org/1-8591217057,"1775 Valley Farm Rd Suite 81
PICKERING
ONTARIO
L1V 7J9
Canada
","Suite 81
1775 Valley Farm Road



PICKERING
ONTARIO
L1V 7J9
Canada
",tr-org:statusActive,14164189802.0,,,2010-09-24T00:00:00Z,,,,Penfold Capital Acquisition III Corp,,,,,,,,,http://sws.geonames.org/6251999/,http://sws.geonames.org/6251999/,,,14164189802.0
https://permid.org/1-5059076783,tr-org:Organization,5059076783,https://permid.org/1-25727410617,https://permid.org/1-25727410620,"780 Fifth Avenue South


NAPLES
FLORIDA
34102
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,14129604687.0,,2018-01-25T05:00:00Z,2017-04-12T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Gordon Pointe Acquisition Corp,13026365454.0,13026365400.0,,,,,,549300TLMKHYWBAZGD30,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,http://www.gordonpointe.com/,,14129271958.0
https://permid.org/1-5041066831,tr-org:Organization,5041066831,,,"United States
",,tr-org:statusInActive,,,,,,,,Prime Acquisition Corp,,,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,2014-02-05T00:00:00Z,
https://permid.org/1-5059014446,tr-org:Organization,5059014446,,,"250 W 57th St Ste 2223
NEW YORK
NEW YORK
10107-0013
","Corporation Trust Center
1209 Orange Street
New Castle County
WILMINGTON
DELAWARE
19801
",tr-org:statusActive,16465656940.0,,,1988-11-23T00:00:00Z,,,,Leisure Acquisition Corp,13026555049.0,13026587581.0,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5000144479,tr-org:Organization,5000144479,https://permid.org/1-25727434047,https://permid.org/1-25727427746,"PENNSYLVANIA
",,tr-org:statusInActive,,,,1996-10-23T00:00:00Z,,,,Atlantic Acquisition Corp,,,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,2015-02-28T00:00:00Z,
https://permid.org/1-5001139114,tr-org:Organization,5001139114,https://permid.org/1-25727414088,https://permid.org/1-25727414089,"250 West 57Th St.
Suite 415

NEW YORK
NEW YORK
10107
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusActive,16465656940.0,tr-org:publiclyHeld,2017-12-01T05:00:00Z,2017-09-11T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Leisure Acquisition Corp,13026365454.0,13026365400.0,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,http://leisureacq.com/,,
https://permid.org/1-5037939806,tr-org:Organization,5037939806,,,"United States
",,tr-org:statusActive,,,,,,,,Prime Acquisition Corp,,,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5074843479,tr-org:Organization,5074843479,,,"36th Floor
1250 Broadway

NEW YORK
NEW YORK
10001
",,tr-org:statusActive,,,,,,,,Atlantic Acquisition Corp,,,,,,,,549300WRMUYUP8KYFH93,,,,,
https://permid.org/1-5050279097,tr-org:Organization,5050279097,,,"United States
",,tr-org:statusActive,,,,,,,,Leisure Acquisition Corp,,,,,,,,,,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5061186740,tr-org:Organization,5061186740,https://permid.org/1-25727409762,https://permid.org/1-25727409764,"4218 Ne 2Nd Avenue
2Nd Floor

MIAMI
FLORIDA
33137
","1013 Centre Rd Ste 403-B
WILMINGTON
DELAWARE
19805-1270
",tr-org:statusActive,13055733900.0,tr-org:publiclyHeld,2018-03-13T04:00:00Z,2017-07-24T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Opes Acquisition Corp,18458183588.0,13024977115.0,,,,,,549300TMBK34NK5FIQ38,http://sws.geonames.org/6252001/,http://sws.geonames.org/3996063/,,,
https://permid.org/1-5001451198,tr-org:Organization,5001451198,https://permid.org/1-21475831667,https://permid.org/1-21475831621,"No. 322, Zhongshan East Road
Shijiazhuang
SHIJIAZHUANG
HEBEI
050011
China (Mainland)
","Cricket Square
Hutchins Drive
PO Box 2681
GRAND CAYMAN
KY1-1111
Cayman Islands
",tr-org:statusActive,4152906986.0,tr-org:publiclyHeld,2011-03-24T04:00:00Z,2010-02-04T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Prime Acquisition Corp,,,,,,,,,http://sws.geonames.org/3580718/,http://sws.geonames.org/1814991/,https://ir.primeacq.com/,,
https://permid.org/1-5052157170,tr-org:Organization,5052157170,https://permid.org/1-25727426357,https://permid.org/1-25727426360,"19319 Arenth Avenue


CITY OF INDUSTRY
CALIFORNIA
91748
","850 New Burton Rd Ste 201
DOVER
DELAWARE
19904-5451
",tr-org:statusActive,16263381090.0,tr-org:publiclyHeld,2017-08-09T04:00:00Z,2016-05-19T00:00:00Z,https://permid.org/1-4294952880,https://permid.org/1-4294952895,https://permid.org/1-4294952879,Hf Foods Group Inc,18002535177.0,18004831140.0,,,,,,54930040ARMFXM6CL697,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,https://hffoodsgroup.com/,,
https://permid.org/1-4295902772,tr-org:Organization,4295902772,https://permid.org/1-55835381891,https://permid.org/1-8590021312,"641 Lexington Ave Fl 17
NEW YORK
NEW YORK
10022-4503
","Corporation Trust Center
1209 Orange Street
New Castle County
WILMINGTON
DELAWARE
19801
",tr-org:statusActive,,,,1995-08-09T00:00:00Z,https://permid.org/1-4294952931,https://permid.org/1-4294952746,https://permid.org/1-4294952930,Centerpoint Corp,13026555049.0,13026587581.0,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5028045540,tr-org:Organization,5028045540,https://permid.org/1-21529255759,https://permid.org/1-21529255760,"66 Ford Rd Ste 230
DENVILLE
NEW JERSEY
07834-1300
","DELAWARE
95050
",tr-org:statusActive,19739836300.0,tr-org:publiclyHeld,2011-08-11T04:00:00Z,2011-01-12T00:00:00Z,https://permid.org/1-4294952852,https://permid.org/1-4294952853,https://permid.org/1-4294952848,Healthcare Corporation of America,,,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
https://permid.org/1-5054881820,tr-org:Organization,5054881820,https://permid.org/1-25727438238,https://permid.org/1-21609620626,"3414 Peachtree Rd NE Ste 480
ATLANTA
GEORGIA
30326-1828
","251 Little Falls Dr
WILMINGTON
DELAWARE
19808-1674
",tr-org:statusInActive,14044431182.0,,2017-05-12T04:00:00Z,2014-06-09T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Modern Media Acquisition Corp,13026365454.0,13026365400.0,,,,,,549300BRFBIV1PMVFM21,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,2019-09-11T00:00:00Z,
https://permid.org/1-5001195180,tr-org:Organization,5001195180,https://permid.org/1-21475553388,https://permid.org/1-21475553387,"Podium
L 9 530 Collins Street
MELBOURNE
VICTORIA
3000
Australia
","Clifton House
75 Fort Street
PO Box 1350
GRAND CAYMAN
1-1108
Cayman Islands
",tr-org:statusActive,61293806899.0,,,2010-07-29T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Australia Acquisition Corp,,,,,,,,,http://sws.geonames.org/3580718/,http://sws.geonames.org/2077456/,,,
https://permid.org/1-5054412488,tr-org:Organization,5054412488,https://permid.org/1-25727437810,https://permid.org/1-21607801584,"5221 N O Connor Blvd Fl 11
IRVING
TEXAS
75039-3714
","850 New Burton Rd Ste 201
DOVER
DELAWARE
19904-5451
",tr-org:statusActive,19724321440.0,,2017-04-11T04:00:00Z,2017-02-08T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Vantage Energy Acquisition Corp,18002535177.0,18004831140.0,,,,,,,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,https://vantageenergy.com/,,
https://permid.org/1-4298363541,tr-org:Organization,4298363541,,,"Glendenning
203 Power Street
GIGNAC
NEW SOUTH WALES
2761
Australia
","NEW SOUTH WALES
2761
Australia
",tr-org:statusActive,61298391111.0,,,1998-02-26T00:00:00Z,,,,Valspar (Australia) Acquisition Corporation Pty Ltd,,,,,,,,,http://sws.geonames.org/2077456/,http://sws.geonames.org/2077456/,,,61298391126.0
https://permid.org/1-5071118550,tr-org:Organization,5071118550,https://permid.org/1-25727364808,https://permid.org/1-25727364809,"19 Rue de Bitbourg


LUXEMBOURG
1273
Luxembourg
","19, rue de Bitbourg
LUXEMBOURG
1273
Luxembourg
",tr-org:statusActive,,,2019-09-11T04:00:00Z,2019-03-13T00:00:00Z,https://permid.org/1-4294952830,https://permid.org/1-4294952723,https://permid.org/1-4294952829,Akazoo SA,,,,,,,,54930042WMZ25L7QXJ87,http://sws.geonames.org/2960313/,http://sws.geonames.org/2960313/,,,
https://permid.org/1-5068307106,tr-org:Organization,5068307106,,,"3414 Peachtree Rd NE Ste 480
ATLANTA
GEORGIA
30326-1828
",,tr-org:statusActive,14044431182.0,,,,,,,Modern Media Acquisition SA Corp,,,,,,,,,http://sws.geonames.org/2960313/,,,,
https://permid.org/1-5065976494,tr-org:Organization,5065976494,https://permid.org/1-25727369970,https://permid.org/1-25727369971,"40 Wall St Fl 29


NEW YORK
NEW YORK
10005-1485
","5348 Vegas Dr




LAS VEGAS
NEVADA
89108
",tr-org:statusActive,19172890932.0,tr-org:publiclyHeld,2019-05-22T04:00:00Z,2018-07-27T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Proficient Alpha Acquisition Corp,,,,,,,,549300K8CYX0YLHICY89,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,http://paac-us.com/,,
https://permid.org/1-5064566900,tr-org:Organization,5064566900,https://permid.org/1-25727400812,https://permid.org/1-21650293761,"777 Third Avenue, 37Th Floor


NEW YORK
NEW YORK
10017
","1013 Centre Rd Ste 403-B
WILMINGTON
DELAWARE
19805-1270
",tr-org:statusActive,12123197676.0,tr-org:publiclyHeld,2018-07-03T04:00:00Z,2017-08-07T00:00:00Z,https://permid.org/1-4294952737,https://permid.org/1-4294952740,https://permid.org/1-4294952736,Allegro Merger Corp,18458183588.0,13024977115.0,,,,,,5493009YVGQK5AKMLC79,http://sws.geonames.org/6252001/,http://sws.geonames.org/6252001/,,,
